Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
June 30 2021,Carroll,NH,Passenger,0,1,1,5,6,16.67
December 31 2019,Oklahoma,OK,Passenger,0,1,1,132,133,0.75
October 31 2019,Hawaii,HI,Passenger,1,0,1,60,61,1.64
August 31 2021,Baltimore,MD,Passenger,1,0,1,98,99,1.01
October 31 2022,Lake,IN,Passenger,0,1,1,11,12,8.33
April 30 2018,Ventura,CA,Passenger,0,1,1,324,325,0.31
September 30 2023,New Haven,CT,Passenger,0,2,2,24,26,7.69
May 31 2020,Tarrant,TX,Passenger,1,0,1,180,181,0.55
June 30 2017,King,WA,Passenger,10024,4103,14127,1375204,1389331,1.02
December 31 2017,Island,WA,Truck,0,0,0,20746,20746,0.00
June 30 2023,Walla Walla,WA,Truck,5,0,5,13698,13703,0.04
September 30 2022,Clackamas,OR,Passenger,1,0,1,134,135,0.74
June 30 2018,Snohomish,WA,Truck,1,0,1,121653,121654,0.00
April 30 2019,Yakima,WA,Truck,0,0,0,58943,58943,0.00
April 30 2022,Cumberland,NC,Passenger,1,4,5,395,400,1.25
June 30 2017,DeKalb,GA,Passenger,1,0,1,87,88,1.14
September 30 2021,Geary,KS,Passenger,1,0,1,101,102,0.98
January 31 2020,DeKalb,IN,Passenger,1,0,1,1,2,50.00
December 31 2022,Adams,WA,Passenger,23,11,34,13004,13038,0.26
August 31 2019,Palm Beach,FL,Passenger,0,2,2,83,85,2.35
June 30 2017,Hawaii,HI,Passenger,1,0,1,82,83,1.20
October 31 2019,Dakota,MN,Passenger,0,1,1,36,37,2.70
December 31 2021,Wahkiakum,WA,Truck,0,0,0,1823,1823,0.00
February 29 2020,DeKalb,GA,Passenger,1,0,1,87,88,1.14
June 30 2021,Ferry,WA,Passenger,9,3,12,4374,4386,0.27
August 31 2018,Cochise,AZ,Passenger,0,1,1,115,116,0.86
May 31 2020,DeKalb,IN,Passenger,1,0,1,1,2,50.00
November 30 2023,District of Columbia,DC,Passenger,3,0,3,135,138,2.17
June 30 2017,Salt Lake,UT,Passenger,0,1,1,266,267,0.37
September 30 2022,Rockdale,GA,Passenger,1,0,1,6,7,14.29
June 30 2018,King,WA,Passenger,13165,5678,18843,1370948,1389791,1.36
October 31 2022,Yakima,WA,Passenger,395,214,609,166318,166927,0.36
March 31 2018,Chelan,WA,Truck,0,0,0,21720,21720,0.00
July 31 2017,Sedgwick,KS,Passenger,0,1,1,111,112,0.89
March 31 2017,Prince George's,MD,Passenger,0,1,1,183,184,0.54
September 30 2017,Norfolk,MA,Passenger,1,0,1,39,40,2.50
January 31 2021,Collier,FL,Passenger,1,0,1,18,19,5.26
July 31 2017,Walla Walla,WA,Truck,0,0,0,13178,13178,0.00
November 30 2021,Lake,IL,Passenger,3,0,3,164,167,1.80
April 30 2020,Shelby,OH,Passenger,0,1,1,1,2,50.00
March 31 2019,Pend Oreille,WA,Passenger,5,5,10,9473,9483,0.11
November 30 2019,Boulder,CO,Passenger,1,1,2,53,55,3.64
November 30 2021,Okaloosa,FL,Passenger,0,1,1,116,117,0.85
October 31 2021,New London,CT,Passenger,1,4,5,217,222,2.25
May 31 2020,Shasta,CA,Passenger,1,0,1,38,39,2.56
February 28 2022,Orange,FL,Passenger,2,0,2,99,101,1.98
November 30 2019,Cascade,MT,Passenger,0,1,1,59,60,1.67
April 30 2021,Vigo,IN,Passenger,1,0,1,5,6,16.67
December 31 2021,Frederick,MD,Passenger,1,1,2,67,69,2.90
January 31 2019,Los Angeles,CA,Passenger,6,5,11,1115,1126,0.98
February 29 2020,Island,WA,Truck,1,0,1,21323,21324,0.00
April 30 2019,Prince George's,MD,Passenger,1,1,2,185,187,1.07
November 30 2018,Spokane,WA,Passenger,407,358,765,306857,307622,0.25
July 31 2019,Lewis,WA,Truck,0,0,0,25963,25963,0.00
November 30 2022,Benton,WA,Truck,7,0,7,43392,43399,0.02
January 31 2017,Wayne,MI,Passenger,0,2,2,79,81,2.47
September 30 2022,Portsmouth,VA,Passenger,0,1,1,81,82,1.22
April 30 2019,Allegheny,PA,Passenger,1,0,1,90,91,1.10
September 30 2017,Grays Harbor,WA,Passenger,38,38,76,45127,45203,0.17
July 31 2023,Thurston,WA,Truck,64,0,64,53859,53923,0.12
June 30 2019,Santa Rosa,FL,Passenger,1,0,1,90,91,1.10
July 31 2020,Lee,FL,Passenger,1,0,1,51,52,1.92
December 31 2022,Polk,OR,Passenger,1,1,2,19,21,9.52
March 31 2023,Middlesex,MA,Passenger,2,1,3,67,70,4.29
May 31 2022,Orange,NC,Passenger,0,1,1,9,10,10.00
December 31 2018,Randolph,NC,Passenger,1,0,1,6,7,14.29
June 30 2023,Alameda,CA,Passenger,4,0,4,164,168,2.38
May 31 2018,Asotin,WA,Truck,0,0,0,6629,6629,0.00
October 31 2017,Marin,CA,Passenger,1,0,1,59,60,1.67
March 31 2021,Wilson,TX,Passenger,0,1,1,5,6,16.67
January 31 2022,Sevier,AR,Passenger,0,1,1,0,1,100.00
April 30 2021,Spokane,WA,Passenger,999,610,1609,324751,326360,0.49
December 31 2023,Larimer,CO,Passenger,1,0,1,19,20,5.00
April 30 2023,Burlington,NJ,Passenger,2,2,4,92,96,4.17
May 31 2021,Collin,TX,Passenger,2,1,3,118,121,2.48
November 30 2018,Cochise,AZ,Passenger,0,1,1,117,118,0.85
April 30 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
April 30 2018,Hamilton,IN,Passenger,1,0,1,47,48,2.08
July 31 2020,Bucks,PA,Passenger,1,0,1,22,23,4.35
April 30 2017,Thurston,WA,Passenger,385,319,704,185696,186400,0.38
December 31 2018,Maui,HI,Passenger,2,0,2,51,53,3.77
September 30 2021,Williamsburg,VA,Passenger,0,1,1,6,7,14.29
December 31 2022,St. Louis,MO,Passenger,2,0,2,59,61,3.28
May 31 2021,Rogers,OK,Passenger,1,0,1,4,5,20.00
May 31 2021,Pierce,WA,Truck,0,0,0,145833,145833,0.00
May 31 2023,Ferry,WA,Passenger,20,4,24,4325,4349,0.55
January 31 2023,Clark,NV,Passenger,9,2,11,447,458,2.40
May 31 2020,Harris,TX,Passenger,1,0,1,246,247,0.40
January 31 2023,Salt Lake,UT,Passenger,0,1,1,117,118,0.85
May 31 2022,Ulster,NY,Passenger,1,0,1,13,14,7.14
April 30 2019,Fairfax,VA,Passenger,4,2,6,783,789,0.76
March 31 2022,Los Angeles,CA,Passenger,7,7,14,839,853,1.64
May 31 2023,Pulaski,MO,Passenger,1,0,1,94,95,1.05
October 31 2021,Fort Bend,TX,Passenger,1,0,1,36,37,2.70
December 31 2020,Placer,CA,Passenger,2,0,2,87,89,2.25
May 31 2019,Maui,HI,Passenger,2,0,2,47,49,4.08
November 30 2018,Carson City,NV,Passenger,1,0,1,15,16,6.25
August 31 2021,Dallas,IA,Passenger,0,1,1,9,10,10.00
December 31 2021,Rockdale,GA,Passenger,1,0,1,6,7,14.29
April 30 2021,San Juan,WA,Truck,0,0,0,5907,5907,0.00
September 30 2017,Montgomery,PA,Passenger,1,0,1,36,37,2.70
March 31 2019,Clackamas,OR,Passenger,1,1,2,203,205,0.98
March 31 2022,Nueces,TX,Passenger,1,1,2,58,60,3.33
November 30 2021,DeKalb,GA,Passenger,1,0,1,63,64,1.56
July 31 2023,Howard,MD,Passenger,0,2,2,49,51,3.92
December 31 2022,Montgomery,PA,Passenger,1,0,1,19,20,5.00
September 30 2020,Bradley,TN,Passenger,1,0,1,1,2,50.00
January 31 2020,Fairfax,VA,Passenger,5,2,7,757,764,0.92
February 28 2022,Yellowstone,MT,Passenger,0,1,1,28,29,3.45
November 30 2021,Williams,ND,Passenger,0,1,1,8,9,11.11
October 31 2023,Ferry,WA,Passenger,22,4,26,4233,4259,0.61
March 31 2022,Douglas,CO,Passenger,0,1,1,84,85,1.18
June 30 2022,Sedgwick,KS,Passenger,1,1,2,77,79,2.53
March 31 2019,Santa Rosa,FL,Passenger,1,0,1,89,90,1.11
February 28 2023,Ulster,NY,Passenger,1,0,1,7,8,12.50
July 31 2020,Multnomah,OR,Passenger,4,7,11,725,736,1.49
June 30 2022,Wake,NC,Passenger,1,0,1,91,92,1.09
July 31 2020,Pima,AZ,Passenger,3,1,4,355,359,1.11
October 31 2022,Beaufort,SC,Passenger,1,0,1,27,28,3.57
January 31 2023,Madison,IL,Passenger,1,0,1,15,16,6.25
July 31 2023,Currituck,NC,Passenger,1,0,1,18,19,5.26
May 31 2022,Clallam,WA,Passenger,410,244,654,49764,50418,1.30
December 31 2019,Virginia Beach,VA,Passenger,1,0,1,694,695,0.14
July 31 2019,Klickitat,WA,Truck,0,0,0,8251,8251,0.00
April 30 2022,Chelan,WA,Truck,0,0,0,23062,23062,0.00
November 30 2021,New London,CT,Passenger,1,4,5,218,223,2.24
September 30 2021,St. Mary's,MD,Passenger,1,0,1,207,208,0.48
November 30 2018,Sedgwick,KS,Passenger,0,1,1,102,103,0.97
July 31 2021,Skagit,WA,Passenger,608,281,889,91852,92741,0.96
January 31 2021,Pend Oreille,WA,Passenger,12,3,15,9178,9193,0.16
March 31 2017,Benton,WA,Passenger,140,139,279,127929,128208,0.22
March 31 2021,Larimer,CO,Passenger,1,0,1,52,53,1.89
March 31 2017,Jefferson,NY,Passenger,1,1,2,259,261,0.77
July 31 2017,Dale,AL,Passenger,0,1,1,64,65,1.54
February 28 2017,Bergen,NJ,Passenger,0,2,2,32,34,5.88
June 30 2022,Boone,MO,Passenger,0,1,1,9,10,10.00
May 31 2018,Arlington,VA,Passenger,1,2,3,175,178,1.69
April 30 2019,Orange,CA,Passenger,6,1,7,550,557,1.26
December 31 2017,Santa Clara,CA,Passenger,7,1,8,388,396,2.02
October 31 2017,Moore,NC,Passenger,0,1,1,201,202,0.50
July 31 2021,Harnett,NC,Passenger,1,1,2,176,178,1.12
June 30 2017,Manatee,FL,Passenger,1,0,1,46,47,2.13
August 31 2018,New Haven,CT,Passenger,0,1,1,48,49,2.04
December 31 2020,Sumter,FL,Passenger,0,1,1,10,11,9.09
March 31 2019,DeKalb,GA,Passenger,1,0,1,82,83,1.20
May 31 2019,Pierce,WA,Passenger,1751,1519,3270,541939,545209,0.60
May 31 2020,Fairfax,VA,Passenger,5,3,8,739,747,1.07
February 29 2020,Sacramento,CA,Passenger,1,0,1,294,295,0.34
May 31 2021,Ventura,CA,Passenger,1,2,3,278,281,1.07
October 31 2022,Henrico,VA,Passenger,0,1,1,8,9,11.11
May 31 2017,Island,WA,Truck,0,0,0,20527,20527,0.00
October 31 2017,Island,WA,Truck,0,0,0,20590,20590,0.00
July 31 2023,Los Angeles,CA,Passenger,6,4,10,584,594,1.68
October 31 2018,Franklin,WA,Truck,0,0,0,18947,18947,0.00
May 31 2023,Contra Costa,CA,Passenger,1,3,4,188,192,2.08
April 30 2023,Grant,WA,Truck,10,0,10,28010,28020,0.04
January 31 2023,Okanogan,WA,Truck,2,0,2,16437,16439,0.01
April 30 2018,San Francisco,CA,Passenger,0,1,1,136,137,0.73
August 31 2017,Maui,HI,Passenger,1,0,1,69,70,1.43
January 31 2020,Spokane,WA,Truck,1,0,1,96885,96886,0.00
December 31 2018,Flathead,MT,Passenger,1,0,1,59,60,1.67
October 31 2022,Fairbanks North Star,AK,Passenger,0,1,1,69,70,1.43
August 31 2023,Lewis,WA,Passenger,344,253,597,59180,59777,1.00
September 30 2017,Chelan,WA,Truck,0,0,0,21414,21414,0.00
October 31 2022,Franklin,WA,Truck,2,0,2,20868,20870,0.01
August 31 2017,Moore,NC,Passenger,0,1,1,199,200,0.50
January 31 2019,Saratoga,NY,Passenger,1,0,1,60,61,1.64
December 31 2020,Twin Falls,ID,Passenger,0,1,1,26,27,3.70
July 31 2019,Spokane,WA,Truck,1,0,1,95226,95227,0.00
June 30 2017,Adams,WA,Truck,0,0,0,5108,5108,0.00
November 30 2021,Currituck,NC,Passenger,1,0,1,23,24,4.17
September 30 2023,Prince George's,MD,Passenger,3,1,4,105,109,3.67
January 31 2020,Duval,FL,Passenger,1,2,3,379,382,0.79
November 30 2023,Lane,OR,Passenger,0,2,2,54,56,3.57
February 28 2019,St. Lucie,FL,Passenger,1,0,1,30,31,3.23
June 30 2020,Chelan,WA,Passenger,231,78,309,54178,54487,0.57
September 30 2018,Clark,WA,Passenger,1089,784,1873,309688,311561,0.60
February 28 2019,El Paso,TX,Passenger,2,0,2,498,500,0.40
July 31 2019,New London,CT,Passenger,0,2,2,242,244,0.82
March 31 2022,Queens,NY,Passenger,1,0,1,51,52,1.92
July 31 2017,Essex,NJ,Passenger,1,0,1,16,17,5.88
September 30 2018,Ferry,WA,Passenger,2,2,4,4407,4411,0.09
January 31 2019,Alexandria,VA,Passenger,1,0,1,158,159,0.63
January 31 2022,Honolulu,HI,Passenger,4,4,8,379,387,2.07
January 31 2023,New London,CT,Passenger,2,4,6,186,192,3.12
May 31 2021,Washington,MD,Passenger,1,0,1,12,13,7.69
February 28 2021,Stevens,WA,Passenger,38,42,80,30214,30294,0.26
December 31 2018,Pinal,AZ,Passenger,2,0,2,204,206,0.97
October 31 2022,Bartow,GA,Passenger,0,1,1,4,5,20.00
March 31 2017,Gwinnett,GA,Passenger,0,1,1,87,88,1.14
March 31 2021,Hamilton,IN,Passenger,2,0,2,38,40,5.00
January 31 2020,Randolph,NC,Passenger,1,0,1,7,8,12.50
March 31 2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
March 31 2023,Orange,CA,Passenger,9,3,12,337,349,3.44
June 30 2021,Pierce,WA,Passenger,3469,1996,5465,560145,565610,0.97
May 31 2017,Fairfax,VA,Passenger,3,2,5,857,862,0.58
August 31 2018,Fairfax,VA,Passenger,3,2,5,813,818,0.61
October 31 2021,San Joaquin,CA,Passenger,1,1,2,102,104,1.92
March 31 2017,Benton,WA,Truck,0,0,0,39851,39851,0.00
May 31 2018,Pacific,WA,Truck,0,0,0,7587,7587,0.00
December 31 2018,Kitsap,WA,Truck,1,0,1,53633,53634,0.00
March 31 2023,St. Clair,IL,Passenger,2,0,2,102,104,1.92
December 31 2017,Franklin,OH,Passenger,0,1,1,107,108,0.93
November 30 2023,Grays Harbor,WA,Truck,12,0,12,20437,20449,0.06
August 31 2023,Cowlitz,WA,Passenger,518,231,749,69689,70438,1.06
April 30 2022,Skagit,WA,Passenger,751,328,1079,90273,91352,1.18
November 30 2021,Norfolk,VA,Passenger,3,3,6,317,323,1.86
September 30 2018,Denver,CO,Passenger,1,0,1,132,133,0.75
July 31 2021,Garfield,WA,Passenger,0,3,3,1373,1376,0.22
March 31 2021,San Joaquin,CA,Passenger,1,0,1,109,110,0.91
November 30 2017,Madison,ID,Passenger,1,0,1,40,41,2.44
March 31 2023,Ray,MO,Passenger,0,1,1,0,1,100.00
August 31 2022,Yakima,WA,Passenger,364,204,568,166454,167022,0.34
December 31 2020,Alameda,CA,Passenger,4,0,4,271,275,1.45
December 31 2018,Shelby,TN,Passenger,0,1,1,100,101,0.99
April 30 2023,Franklin,WA,Truck,4,0,4,20889,20893,0.02
May 31 2021,Pima,AZ,Passenger,2,1,3,301,304,0.99
July 31 2018,Dakota,MN,Passenger,0,2,2,37,39,5.13
January 31 2019,Manassas,VA,Passenger,0,1,1,9,10,10.00
May 31 2022,Klickitat,WA,Passenger,99,54,153,15234,15387,0.99
April 30 2017,Cumberland,NC,Passenger,1,0,1,618,619,0.16
February 28 2018,Allegheny,PA,Passenger,1,0,1,84,85,1.18
January 31 2017,Douglas,OR,Passenger,0,1,1,90,91,1.10
April 30 2018,Dakota,MN,Passenger,0,2,2,39,41,4.88
January 31 2017,Multnomah,OR,Passenger,0,3,3,1282,1285,0.23
May 31 2022,Nueces,TX,Passenger,1,1,2,55,57,3.51
October 31 2023,Benton,WA,Truck,31,0,31,42596,42627,0.07
December 31 2017,Hamilton,TN,Passenger,1,0,1,21,22,4.55
April 30 2022,Collin,TX,Passenger,3,0,3,98,101,2.97
December 31 2017,Benton,WA,Passenger,172,168,340,130221,130561,0.26
August 31 2017,Lewis,WA,Passenger,55,38,93,55794,55887,0.17
November 30 2019,,,Passenger,6,2,8,411,419,1.91
October 31 2020,Twin Falls,ID,Passenger,0,1,1,25,26,3.85
October 31 2018,Volusia,FL,Passenger,0,1,1,40,41,2.44
March 31 2021,Salt Lake,UT,Passenger,0,1,1,180,181,0.55
March 31 2017,Jefferson,WA,Truck,0,0,0,9447,9447,0.00
September 30 2022,Stevens,WA,Truck,1,0,1,18895,18896,0.01
December 31 2020,Rogers,OK,Passenger,1,0,1,4,5,20.00
May 31 2023,Galveston,TX,Passenger,0,1,1,17,18,5.56
November 30 2023,Mason,WA,Passenger,527,216,743,45329,46072,1.61
May 31 2017,Okanogan,WA,Passenger,3,16,19,25683,25702,0.07
June 30 2018,Virginia Beach,VA,Passenger,2,1,3,685,688,0.44
August 31 2023,Kings,CA,Passenger,2,2,4,272,276,1.45
July 31 2018,San Francisco,CA,Passenger,1,1,2,127,129,1.55
September 30 2021,Williams,ND,Passenger,0,1,1,8,9,11.11
July 31 2019,Franklin,WA,Truck,0,0,0,19363,19363,0.00
February 28 2017,Lewis,WA,Truck,0,0,0,24787,24787,0.00
September 30 2020,Jefferson,WA,Truck,0,0,0,9541,9541,0.00
December 31 2017,Dallas,TX,Passenger,0,1,1,188,189,0.53
May 31 2021,Marion,IA,Passenger,1,0,1,1,2,50.00
August 31 2022,Franklin,WA,Truck,2,0,2,20892,20894,0.01
February 28 2017,Bexar,TX,Passenger,1,2,3,1162,1165,0.26
May 31 2023,Garfield,WA,Passenger,1,3,4,1310,1314,0.30
January 31 2023,Grays Harbor,WA,Truck,2,0,2,21061,21063,0.01
August 31 2021,Skagit,WA,Truck,1,0,1,32962,32963,0.00
April 30 2018,Marin,CA,Passenger,1,0,1,57,58,1.72
September 30 2023,Mercer,NJ,Passenger,0,1,1,9,10,10.00
December 31 2023,Sonoma,CA,Passenger,2,1,3,58,61,4.92
December 31 2020,Chesapeake,VA,Passenger,0,2,2,409,411,0.49
March 31 2020,Chelan,WA,Truck,0,0,0,22552,22552,0.00
February 28 2021,Allegheny,PA,Passenger,1,1,2,72,74,2.70
October 31 2020,Hennepin,MN,Passenger,2,0,2,84,86,2.33
September 30 2023,Sedgwick,KS,Passenger,1,0,1,49,50,2.00
January 31 2018,Virginia Beach,VA,Passenger,2,1,3,671,674,0.45
July 31 2020,Wahkiakum,WA,Passenger,6,6,12,3001,3013,0.40
December 31 2022,Denton,TX,Passenger,1,0,1,54,55,1.82
June 30 2022,Kings,CA,Passenger,2,1,3,313,316,0.95
March 31 2023,Carroll,MD,Passenger,0,1,1,21,22,4.55
April 30 2019,Vigo,IN,Passenger,1,0,1,5,6,16.67
November 30 2020,Greene,MO,Passenger,0,1,1,36,37,2.70
November 30 2023,Santa Cruz,CA,Passenger,1,0,1,18,19,5.26
September 30 2021,Sevier,AR,Passenger,0,1,1,0,1,100.00
March 31 2022,Kitsap,WA,Passenger,2271,1004,3275,179083,182358,1.80
September 30 2019,Garfield,WA,Passenger,0,1,1,1310,1311,0.08
April 30 2017,Honolulu,HI,Passenger,4,2,6,612,618,0.97
February 28 2021,Loudoun,VA,Passenger,1,0,1,69,70,1.43
September 30 2020,Carroll,NH,Passenger,0,1,1,5,6,16.67
June 30 2020,DuPage,IL,Passenger,3,0,3,60,63,4.76
January 31 2020,Fresno,CA,Passenger,1,0,1,200,201,0.50
May 31 2022,Hillsborough,FL,Passenger,1,2,3,120,123,2.44
September 30 2020,Harford,MD,Passenger,0,1,1,60,61,1.64
June 30 2017,Grant,WA,Truck,0,0,0,25218,25218,0.00
February 29 2020,Arlington,VA,Passenger,0,2,2,160,162,1.23
September 30 2020,Maui,HI,Passenger,2,0,2,31,33,6.06
July 31 2023,Calvert,MD,Passenger,1,1,2,69,71,2.82
October 31 2020,Cumberland,NC,Passenger,0,3,3,465,468,0.64
July 31 2020,Boulder,CO,Passenger,1,1,2,48,50,4.00
May 31 2021,Greene,MO,Passenger,0,1,1,35,36,2.78
August 31 2023,Maui,HI,Passenger,1,0,1,20,21,4.76
August 31 2022,San Diego,CA,Passenger,20,8,28,2336,2364,1.18
January 31 2020,Cowlitz,WA,Passenger,127,111,238,73596,73834,0.32
December 31 2017,Maricopa,AZ,Passenger,2,1,3,1658,1661,0.18
May 31 2018,Virginia Beach,VA,Passenger,2,1,3,684,687,0.44
January 31 2023,Columbia,WA,Passenger,8,1,9,2434,2443,0.37
May 31 2021,Hillsborough,FL,Passenger,0,2,2,149,151,1.32
July 31 2017,Lane,OR,Passenger,0,1,1,231,232,0.43
April 30 2017,Montgomery,MD,Passenger,1,0,1,311,312,0.32
December 31 2022,Collier,FL,Passenger,1,0,1,14,15,6.67
August 31 2022,King,WA,Passenger,42921,11633,54554,1344919,1399473,3.90
December 31 2022,Placer,CA,Passenger,2,0,2,66,68,2.94
February 29 2020,Klickitat,WA,Truck,0,0,0,8299,8299,0.00
June 30 2019,Columbia,WA,Truck,0,0,0,1532,1532,0.00
May 31 2022,Fulton,GA,Passenger,1,0,1,67,68,1.47
June 30 2020,Deschutes,OR,Passenger,4,0,4,139,143,2.80
November 30 2021,Grays Harbor,WA,Truck,0,0,0,21424,21424,0.00
January 31 2019,Charleston,SC,Passenger,1,0,1,128,129,0.78
June 30 2023,Polk,OR,Passenger,1,1,2,15,17,11.76
August 31 2017,Nantucket,MA,Passenger,1,0,1,3,4,25.00
April 30 2019,Spokane,WA,Passenger,511,407,918,309537,310455,0.30
July 31 2018,Pacific,WA,Passenger,19,21,40,15616,15656,0.26
June 30 2021,Yamhill,OR,Passenger,1,0,1,40,41,2.44
October 31 2019,Pacific,WA,Passenger,30,29,59,16106,16165,0.36
August 31 2020,Jefferson,WA,Truck,0,0,0,9539,9539,0.00
March 31 2021,Washoe,NV,Passenger,1,0,1,103,104,0.96
April 30 2020,Klickitat,WA,Passenger,53,41,94,15421,15515,0.61
November 30 2020,Ferry,WA,Truck,0,0,0,3600,3600,0.00
December 31 2018,Klamath,OR,Passenger,1,0,1,38,39,2.56
December 31 2022,Virginia Beach,VA,Truck,1,0,1,107,108,0.93
May 31 2022,Lewis,WA,Passenger,230,173,403,59495,59898,0.67
January 31 2018,Okanogan,WA,Passenger,7,19,26,25697,25723,0.10
April 30 2020,Clark,NV,Passenger,4,2,6,687,693,0.87
March 31 2020,Contra Costa,CA,Passenger,3,2,5,323,328,1.52
April 30 2019,Tulsa,OK,Passenger,1,1,2,49,51,3.92
October 31 2020,Miami-Dade,FL,Passenger,1,0,1,107,108,0.93
March 31 2021,Harrison,MS,Passenger,2,0,2,53,55,3.64
November 30 2020,Lee,FL,Passenger,1,0,1,47,48,2.08
August 31 2020,Goochland,VA,Passenger,3,2,5,257,262,1.91
September 30 2021,Powhatan,VA,Passenger,1,0,1,1,2,50.00
February 28 2022,Prince William,VA,Passenger,1,1,2,209,211,0.95
March 31 2020,Shelby,TN,Passenger,0,1,1,92,93,1.08
April 30 2018,Walla Walla,WA,Passenger,34,40,74,35453,35527,0.21
March 31 2023,Whatcom,WA,Truck,48,0,48,42927,42975,0.11
May 31 2017,Columbia,WA,Truck,0,0,0,1537,1537,0.00
July 31 2022,Frederick,MD,Passenger,1,0,1,59,60,1.67
October 31 2019,Suffolk,MA,Passenger,0,1,1,39,40,2.50
December 31 2020,Oldham,KY,Passenger,0,1,1,4,5,20.00
August 31 2020,Anne Arundel,MD,Passenger,0,1,1,403,404,0.25
December 31 2020,Jefferson,WA,Truck,0,0,0,9588,9588,0.00
August 31 2021,Skamania,WA,Truck,0,0,0,4033,4033,0.00
September 30 2023,Wahkiakum,WA,Passenger,27,19,46,3028,3074,1.50
June 30 2022,Cowlitz,WA,Passenger,336,172,508,70711,71219,0.71
February 29 2020,Chesapeake,VA,Passenger,0,1,1,433,434,0.23
August 31 2019,Kootenai,ID,Passenger,1,1,2,224,226,0.88
October 31 2022,Burlington,NJ,Passenger,0,2,2,96,98,2.04
October 31 2019,Kittitas,WA,Truck,0,0,0,14620,14620,0.00
August 31 2017,Adams,WA,Truck,0,0,0,5099,5099,0.00
April 30 2021,Plaquemines,LA,Passenger,0,1,1,16,17,5.88
July 31 2023,Klickitat,WA,Passenger,156,65,221,15124,15345,1.44
May 31 2023,Douglas,NE,Passenger,1,1,2,29,31,6.45
February 28 2017,Cobb,GA,Passenger,0,1,1,83,84,1.19
August 31 2023,San Joaquin,CA,Passenger,0,1,1,67,68,1.47
January 31 2023,Fairfax,VA,Truck,1,0,1,100,101,0.99
November 30 2023,Galveston,TX,Passenger,0,1,1,14,15,6.67
May 31 2018,Chelan,WA,Truck,0,0,0,21823,21823,0.00
January 31 2021,Pend Oreille,WA,Truck,0,0,0,5716,5716,0.00
November 30 2019,Clackamas,OR,Passenger,2,1,3,210,213,1.41
August 31 2020,Snohomish,WA,Passenger,4644,1781,6425,535997,542422,1.18
February 28 2019,Stevens,WA,Truck,0,0,0,18753,18753,0.00
January 31 2022,Douglas,WA,Truck,0,0,0,12678,12678,0.00
August 31 2022,Rock Island,IL,Passenger,0,1,1,12,13,7.69
April 30 2019,Fulton,GA,Passenger,1,2,3,112,115,2.61
April 30 2023,Wilson,TX,Passenger,0,1,1,3,4,25.00
April 30 2017,Chelan,WA,Passenger,55,31,86,51698,51784,0.17
November 30 2021,Yamhill,OR,Passenger,1,0,1,37,38,2.63
August 31 2017,Franklin,MA,Passenger,0,1,1,4,5,20.00
October 31 2018,Kalamazoo,MI,Passenger,1,0,1,16,17,5.88
February 28 2021,Dallas,IA,Passenger,0,1,1,10,11,9.09
January 31 2021,Douglas,WA,Passenger,84,46,130,28199,28329,0.46
May 31 2021,Kauai,HI,Passenger,1,0,1,18,19,5.26
October 31 2022,Lake,FL,Passenger,1,0,1,16,17,5.88
March 31 2017,Pend Oreille,WA,Passenger,1,4,5,9306,9311,0.05
August 31 2017,Island,WA,Passenger,124,150,274,60572,60846,0.45
January 31 2017,Lewis,WA,Passenger,43,30,73,54962,55035,0.13
November 30 2017,Hamilton,IN,Passenger,1,0,1,54,55,1.82
February 28 2019,Manassas,VA,Passenger,0,1,1,9,10,10.00
June 30 2017,Benton,WA,Passenger,148,143,291,128503,128794,0.23
October 31 2019,Charles,MD,Passenger,0,1,1,87,88,1.14
April 30 2021,Grant,WA,Passenger,102,86,188,66789,66977,0.28
May 31 2020,Lewis,WA,Passenger,99,108,207,58229,58436,0.35
November 30 2022,Skamania,WA,Passenger,89,51,140,8110,8250,1.70
April 30 2020,Lincoln,WA,Truck,0,0,0,4624,4624,0.00
December 31 2023,Washtenaw,MI,Passenger,0,2,2,15,17,11.76
April 30 2023,Nueces,TX,Passenger,0,1,1,49,50,2.00
April 30 2023,Whitman,WA,Passenger,138,72,210,21994,22204,0.95
February 28 2017,Canyon,ID,Passenger,0,1,1,110,111,0.90
November 30 2017,Garfield,WA,Truck,0,0,0,936,936,0.00
January 31 2017,Nantucket,MA,Passenger,1,0,1,3,4,25.00
July 31 2023,Skamania,WA,Passenger,111,57,168,8041,8209,2.05
December 31 2018,Clackamas,OR,Passenger,1,1,2,212,214,0.93
April 30 2023,Yakima,WA,Passenger,467,241,708,165960,166668,0.42
January 31 2020,Clark,NV,Passenger,4,2,6,700,706,0.85
February 28 2023,Stafford,VA,Passenger,3,1,4,85,89,4.49
May 31 2022,Howard,IN,Passenger,0,1,1,4,5,20.00
April 30 2022,Chelan,WA,Passenger,447,124,571,54497,55068,1.04
June 30 2021,Newport,RI,Passenger,0,1,1,78,79,1.27
May 31 2022,San Mateo,CA,Passenger,2,0,2,88,90,2.22
September 30 2019,Juneau,AK,Passenger,0,2,2,29,31,6.45
